"Date","Price","Open","High","Low","Change %"
"Oct 31, 2018","73.960","73.920","74.140","73.800","0.38%"
"Oct 30, 2018","73.680","73.560","73.705","73.520","0.38%"
"Oct 29, 2018","73.400","73.355","73.525","73.322","-0.08%"
"Oct 26, 2018","73.460","73.430","73.472","73.270","0.31%"
"Oct 25, 2018","73.230","73.350","73.380","73.165","0.00%"
"Oct 24, 2018","73.230","73.160","73.343","73.100","-0.44%"
"Oct 23, 2018","73.550","73.710","73.833","73.510","-0.01%"
"Oct 22, 2018","73.560","73.305","73.565","73.192","0.25%"
"Oct 19, 2018","73.375","73.605","73.655","73.295","-0.21%"
"Oct 18, 2018","73.530","73.590","73.615","73.485","-0.10%"
"Oct 17, 2018","73.600","73.420","73.670","73.373","0.18%"
"Oct 16, 2018","73.465","73.810","73.960","73.465","-0.41%"
"Oct 15, 2018","73.770","73.803","74.070","73.770","0.22%"
"Oct 12, 2018","73.610","73.830","73.860","73.530","-0.59%"
"Oct 11, 2018","74.050","74.380","74.490","74.005","-0.27%"
"Oct 10, 2018","74.250","74.160","74.293","74.060","-0.12%"
"Oct 09, 2018","74.340","73.910","74.405","73.880","0.37%"
"Oct 08, 2018","74.065","73.870","74.100","73.765","0.40%"
"Oct 05, 2018","73.770","73.620","74.250","73.425","0.19%"
"Oct 04, 2018","73.630","73.710","73.825","73.500","0.39%"
"Oct 03, 2018","73.345","73.265","73.430","72.920","0.58%"
"Oct 02, 2018","72.925","72.925","72.925","72.925","0.00%"
"Oct 01, 2018","72.925","72.605","72.945","72.605","0.57%"
"Sep 28, 2018","72.510","72.570","72.670","72.405","-0.08%"
"Sep 27, 2018","72.570","72.430","72.770","72.390","-0.04%"
"Sep 26, 2018","72.600","72.710","72.755","72.537","-0.12%"
"Sep 25, 2018","72.685","72.905","72.960","72.575","0.02%"
"Sep 24, 2018","72.670","72.480","72.740","72.340","0.60%"
"Sep 21, 2018","72.240","71.860","72.480","71.760","0.31%"
"Sep 20, 2018","72.015","72.345","72.345","72.015","-0.48%"
"Sep 19, 2018","72.360","72.720","72.875","72.345","-0.48%"
"Sep 18, 2018","72.710","72.560","72.990","72.360","0.23%"
"Sep 17, 2018","72.540","72.530","72.695","72.315","0.92%"
"Sep 14, 2018","71.880","71.700","71.995","71.535","-0.22%"
"Sep 13, 2018","72.037","72.037","72.037","72.037","-0.17%"
"Sep 12, 2018","72.160","72.843","72.920","71.925","-0.66%"
"Sep 11, 2018","72.640","72.310","72.750","72.250","0.26%"
"Sep 10, 2018","72.455","72.135","72.680","72.075","0.93%"
"Sep 07, 2018","71.790","71.960","72.045","71.665","-0.22%"
"Sep 06, 2018","71.950","71.630","72.105","71.630","0.27%"
"Sep 05, 2018","71.755","71.405","71.955","71.375","0.24%"
"Sep 04, 2018","71.585","71.285","71.585","71.095","0.52%"
"Sep 03, 2018","71.215","70.790","71.220","70.725","0.30%"
"Aug 31, 2018","71.005","70.955","71.025","70.855","0.37%"
"Aug 30, 2018","70.745","70.635","70.875","70.595","0.30%"
"Aug 29, 2018","70.535","70.325","70.635","70.240","0.62%"
"Aug 28, 2018","70.100","70.050","70.297","70.050","-0.09%"
"Aug 27, 2018","70.165","69.765","70.165","69.705","0.28%"
"Aug 24, 2018","69.970","70.220","70.240","69.898","-0.19%"
"Aug 23, 2018","70.105","70.015","70.170","69.968","0.34%"
"Aug 22, 2018","69.870","69.880","69.895","69.800","0.01%"
"Aug 21, 2018","69.860","69.665","69.920","69.535","0.06%"
"Aug 20, 2018","69.820","69.820","69.880","69.600","-0.40%"
"Aug 17, 2018","70.100","70.130","70.160","70.080","0.01%"
"Aug 16, 2018","70.090","70.230","70.420","70.090","0.24%"
"Aug 15, 2018","69.920","69.920","69.920","69.920","-0.06%"
"Aug 14, 2018","69.960","69.860","70.090","69.700","-0.09%"
"Aug 13, 2018","70.020","69.485","70.020","69.405","1.64%"
"Aug 10, 2018","68.890","68.845","69.025","68.767","0.19%"
"Aug 09, 2018","68.760","68.480","68.760","68.460","0.15%"
"Aug 08, 2018","68.660","68.678","68.715","68.580","0.04%"
"Aug 07, 2018","68.630","68.820","68.940","68.630","-0.29%"
"Aug 06, 2018","68.830","68.580","68.900","68.545","0.42%"
"Aug 03, 2018","68.545","68.695","68.845","68.545","-0.12%"
"Aug 02, 2018","68.625","68.375","68.735","68.265","0.40%"
"Aug 01, 2018","68.350","68.560","68.632","68.350","-0.16%"
"Jul 31, 2018","68.460","68.710","68.710","68.450","-0.21%"
"Jul 30, 2018","68.605","68.705","68.792","68.605","0.00%"
"Jul 27, 2018","68.605","68.655","68.755","68.535","-0.08%"
"Jul 26, 2018","68.660","68.705","68.760","68.618","-0.10%"
"Jul 25, 2018","68.730","68.965","68.980","68.670","-0.31%"
"Jul 24, 2018","68.947","68.970","69.088","68.845","0.15%"
"Jul 23, 2018","68.845","68.705","68.865","68.645","0.15%"
"Jul 20, 2018","68.740","69.025","69.132","68.740","-0.41%"
"Jul 19, 2018","69.020","68.720","69.110","68.700","0.58%"
"Jul 18, 2018","68.625","68.425","68.645","68.385","0.28%"
"Jul 17, 2018","68.430","68.360","68.475","68.280","-0.18%"
"Jul 16, 2018","68.550","68.560","68.720","68.510","0.07%"
"Jul 13, 2018","68.500","68.520","68.562","68.335","-0.03%"
"Jul 12, 2018","68.520","68.765","68.765","68.490","-0.31%"
"Jul 11, 2018","68.730","68.825","68.895","68.710","-0.04%"
"Jul 10, 2018","68.755","68.665","68.865","68.655","0.14%"
"Jul 09, 2018","68.660","68.570","68.790","68.570","-0.21%"
"Jul 06, 2018","68.805","68.885","69.030","68.805","-0.11%"
"Jul 05, 2018","68.880","68.810","69.010","68.695","0.28%"
"Jul 04, 2018","68.690","68.525","68.777","68.445","0.20%"
"Jul 03, 2018","68.550","68.935","68.965","68.525","-0.25%"
"Jul 02, 2018","68.720","68.495","68.825","68.340","0.38%"
"Jun 29, 2018","68.460","68.700","68.700","68.360","-0.55%"
"Jun 28, 2018","68.840","68.900","69.100","68.725","0.29%"
"Jun 27, 2018","68.640","68.430","68.710","68.425","0.39%"
"Jun 26, 2018","68.370","68.140","68.370","68.080","0.37%"
"Jun 25, 2018","68.115","67.905","68.173","67.905","0.36%"
"Jun 22, 2018","67.870","67.840","67.890","67.715","-0.11%"
"Jun 21, 2018","67.945","68.205","68.243","67.945","-0.17%"
"Jun 20, 2018","68.060","68.100","68.185","68.030","-0.37%"
"Jun 19, 2018","68.310","67.980","68.385","67.977","0.40%"
"Jun 18, 2018","68.040","68.160","68.170","67.950","-0.03%"
"Jun 15, 2018","68.060","67.915","68.065","67.887","0.55%"
"Jun 14, 2018","67.690","67.575","67.735","67.570","0.07%"
"Jun 13, 2018","67.645","67.600","67.705","67.550","0.24%"
"Jun 12, 2018","67.480","67.455","67.510","67.360","0.01%"
"Jun 11, 2018","67.470","67.445","67.480","67.275","-0.09%"
"Jun 08, 2018","67.530","67.470","67.795","67.440","0.16%"
"Jun 07, 2018","67.420","66.940","67.460","66.940","0.87%"
"Jun 06, 2018","66.840","67.090","67.165","66.840","-0.39%"
